id,release_date,movie,production_budget,domestic_gross,worldwide_gross
1,18-Dec-09,Avatar,425000000,760507625,2776345279
2,20-May-11,Pirates of the Caribbean: On Stranger Tides,410600000,241063875,1045663875
3,7-Jun-19,Dark Phoenix,350000000,42762350,149762350
4,1-May-15,Avengers: Age of Ultron,330600000,459005868,1403013963
5,15-Dec-17,Star Wars Ep. VIII: The Last Jedi,317000000,620181382,1316721747
6,18-Dec-15,Star Wars Ep. VII: The Force Awakens,306000000,936662225,2053311220
7,27-Apr-18,Avengers: Infinity War,300000000,678815482,2048134200
8,24-May-07,Pirates of the Caribbean: At Worldâs End,300000000,309420425,963420425
9,17-Nov-17,Justice League,300000000,229024295,655945209
10,6-Nov-15,Spectre,300000000,200074175,879620923
11,20-Jul-12,The Dark Knight Rises,275000000,448139099,1084439099
12,25-May-18,Solo: A Star Wars Story,275000000,213767512,393151347
13,2-Jul-13,The Lone Ranger,275000000,89302115,260002115
14,9-Mar-12,John Carter,275000000,73058679,282778100
15,24-Nov-10,Tangled,260000000,200821936,586477240
16,4-May-07,Spider-Man 3,258000000,336530303,894860230
17,6-May-16,Captain America: Civil War,250000000,408084349,1140069413
18,25-Mar-16,Batman v Superman: Dawn of Justice,250000000,330360194,867500281
19,14-Dec-12,The Hobbit: An Unexpected Journey,250000000,303003568,1017003568
20,15-Jul-09,Harry Potter and the Half-Blood Prince,250000000,302089278,935213767
21,13-Dec-13,The Hobbit: The Desolation of Smaug,250000000,258366855,960366855
22,17-Dec-14,The Hobbit: The Battle of the Five Armies,250000000,255119788,945577621
23,14-Apr-17,The Fate of the Furious,250000000,225764765,1234846267
24,28-Jun-06,Superman Returns,232000000,200120000,374085065
25,26-May-17,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,788241137
26,14-Nov-08,Quantum of Solace,230000000,169368427,591692078
27,4-May-12,The Avengers,225000000,623279547,1517935897
28,7-Jul-06,Pirates of the Caribbean: Dead Manâs Chest,225000000,423315812,1066215812
29,14-Jun-13,Man of Steel,225000000,291045518,667999518
30,16-May-08,The Chronicles of Narnia: Prince Caspian,225000000,141621490,417341288
31,3-Jul-12,The Amazing Spider-Man,220000000,262030663,757890267
32,18-May-12,Battleship,220000000,65233400,313477717
33,21-Jun-17,Transformers: The Last Knight,217000000,130168683,602893340
34,12-Jun-15,Jurassic World,215000000,652270625,1648854864
35,25-May-12,Men in Black 3,215000000,179020854,654213485
36,24-Jun-09,Transformers: Revenge of the Fallen,210000000,402111870,836519699
37,27-Jun-14,Transformers: Age of Extinction,210000000,245439076,1104039076
38,26-May-06,X-Men: The Last Stand,210000000,234362462,459260946
39,14-May-10,Robin Hood,210000000,105487148,322459006
40,14-Dec-05,King Kong,207000000,218080025,550517357
41,7-Dec-07,The Golden Compass,205000000,70107728,367262558
42,16-Feb-18,Black Panther,200000000,700059566,1348258224
43,19-Dec-97,Titanic,200000000,659363944,2208208395
44,15-Jun-18,Incredibles 2,200000000,608581744,1242520711
45,16-Dec-16,Rogue One: A Star Wars Story,200000000,532177324,1049102856
46,17-Jun-16,Finding Dory,200000000,486295561,1021215193
47,18-Jun-10,Toy Story 3,200000000,415004880,1068879522
48,3-May-13,Iron Man 3,200000000,408992272,1215392272
49,5-May-17,Guardians of the Galaxy Vol 2,200000000,389813101,862316233
50,30-Jun-04,Spider-Man 2,200000000,373524485,795110670
51,5-Mar-10,Alice in Wonderland,200000000,334191110,1025491110
52,8-Nov-12,Skyfall,200000000,304360277,1110526981
53,21-Jun-13,Monsters University,200000000,268488329,743588329
54,8-Mar-13,Oz the Great and Powerful,200000000,234770996,490359051
55,23-May-14,X-Men: Days of Future Past,200000000,233921534,747862775
56,2-May-14,The Amazing Spider-Man 2,200000000,202853933,708996336
57,24-Jun-11,Cars 2,200000000,191450875,560155383
58,17-Dec-10,Tron: Legacy,200000000,172062763,400062763
59,13-Nov-09,2012,200000000,166112167,757677748
60,16-Nov-18,Fantastic Beasts: The Crimes of Grindelwald,200000000,159555901,652220086
61,21-May-09,Terminator Salvation,200000000,125322469,365491792
62,17-Jun-11,Green Lantern,200000000,116601172,219535492
63,28-May-10,Prince of Persia: Sands of Time,200000000,90759676,336359676
64,29-Jun-11,Transformers: Dark of the Moon,195000000,352390543,1123790543
65,9-Jun-17,The Mummy,195000000,80101125,409953905
66,1-Mar-13,Jack the Giant Slayer,195000000,65187603,197687603
67,3-Apr-15,Furious 7,190000000,353007020,1518722794
68,16-May-13,Star Trek Into Darkness,190000000,228778661,467381584
69,21-Jun-13,World War Z,190000000,202359711,531514650
70,10-May-13,The Great Gatsby,190000000,144840419,351040419
71,6-Nov-09,Disneyâs A Christmas Carol,190000000,137855863,315709697
72,12-Jul-13,Pacific Rim,190000000,101802906,411002906
73,25-Nov-15,The Good Dinosaur,187500000,123087120,333771037
74,2-May-08,Iron Man,186000000,318604126,585171547
75,18-Jul-08,The Dark Knight,185000000,533720947,1001996207
76,22-May-08,Indiana Jones and the Kingdom of the Crystal Skull,185000000,317101119,786635413
77,22-Jun-12,Brave,185000000,237282182,554606532
78,10-Mar-17,Kong: Skull Island,185000000,168052812,561072059
79,22-Jul-16,Star Trek Beyond,185000000,158848340,335802233
80,6-Oct-17,Blade Runner 2049,185000000,92054159,259357408
81,24-May-19,Aladdin,182000000,246734314,619234314
82,3-Nov-17,Thor: Ragnarok,180000000,315058289,846980024
83,9-Dec-05,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,291710957,720539572
84,30-May-14,Maleficent,180000000,241407328,758536735
85,18-Nov-16,Fantastic Beasts and Where to Find Them,180000000,234037575,802402853
86,27-Jun-08,WALL-E,180000000,223808164,532508025
87,10-Aug-07,Rush Hour 3,180000000,140125968,256585882
88,1-Jul-16,The Legend of Tarzan,180000000,126643061,348902025
89,23-Nov-11,Hugo,180000000,73864507,180047784
90,21-Jul-17,Valerian and the City of a Thousand Planets,180000000,40479370,215098356
91,6-Feb-15,Jupiter Ascending,179000000,47482519,181982519
92,27-Jul-18,Mission: ImpossibleâFallout,178000000,220159104,787456552
93,27-May-16,X-Men: Apocalypse,178000000,155442489,542537546
94,10-Aug-18,The Meg,178000000,145443742,529530715
95,6-Jun-14,Edge of Tomorrow,178000000,100206256,370541256
96,8-Mar-19,Captain Marvel,175000000,426525952,1123061550
97,15-Apr-16,The Jungle Book,175000000,364001123,962854547
98,19-Jun-15,Inside Out,175000000,356461711,854235992
99,7-Jul-17,Spider-Man: Homecoming,175000000,334201140,880166350
100,5-Aug-16,Suicide Squad,175000000,325100054,746059887
1,29-May-09,Up,175000000,293004164,731463377
2,22-Nov-17,Coco,175000000,209726015,798008101
3,21-Nov-18,Ralph Breaks The Internet,175000000,201091711,524283695
4,27-Mar-09,Monsters vs. Aliens,175000000,198351526,381687380
5,16-Jun-17,Cars 3,175000000,152901115,383541369
6,7-Aug-09,G.I. Joe: The Rise of Cobra,175000000,150201498,302469017
7,30-Jun-99,Wild Wild West,175000000,113805681,221229335
8,1-Aug-08,The Mummy: Tomb of the Dragon Emperor,175000000,102491776,405760225
9,22-Jun-07,Evan Almighty,175000000,100289690,174131329
10,28-Jul-95,Waterworld,175000000,88246220,264246220
11,12-May-17,King Arthur: Legend of the Sword,175000000,39175066,139630336
12,25-Dec-13,47 Ronin,175000000,38362475,151716815
13,22-Jun-18,Jurassic World: Fallen Kingdom,170000000,417719760,1305772799
14,1-Aug-14,Guardians of the Galaxy,170000000,333172112,770867516
15,7-May-10,Iron Man 2,170000000,312433331,621156389
16,4-Apr-14,Captain America: The Winter Soldier,170000000,259746958,714401889
17,11-Jul-14,Dawn of the Planet of the Apes,170000000,208545589,710644566
18,10-Nov-04,The Polar Express,170000000,187224605,311365187
19,1-Jun-12,Snow White and the Huntsman,170000000,155136755,401021746
20,1-Jul-03,Terminator 3: Rise of the Machines,170000000,150358296,433058296
21,7-May-04,Van Helsing,170000000,120150546,300150546
22,29-Mar-19,Dumbo,170000000,113883318,345004422
23,22-May-15,Tomorrowland,170000000,93436322,206627518
24,14-Feb-19,Alita: Battle Angel,170000000,85710210,402976036
25,31-May-19,Godzilla: King of the Monsters,170000000,85576941,299276941
26,27-May-16,Alice Through the Looking Glass,170000000,77042381,276928112
27,21-May-10,Shrek Forever After,165000000,238736787,756244673
28,4-Nov-16,Doctor Strange,165000000,232641920,676404566
29,7-Nov-14,Big Hero 6,165000000,222527828,652127828
30,26-Mar-10,How to Train Your Dragon,165000000,217581232,494870992
31,2-Nov-12,Wreck-It Ralph,165000000,189412677,496511521
32,5-Nov-14,Interstellar,165000000,188017894,666379375
33,24-Jun-16,Independence Day: Resurgence,165000000,103144286,384169424
34,29-Jul-11,Cowboys and Aliens,163000000,100368560,176038324
35,17-Mar-17,Beauty and the Beast,160000000,504014165,1259199706
36,21-Dec-18,Aquaman,160000000,335061807,1146894640
37,17-May-07,Shrek the Third,160000000,322719944,807330936
38,16-Jul-10,Inception,160000000,292576195,835524642
39,20-Nov-15,The Hunger Games: Mockingjay - Part 2,160000000,281723902,648986787
40,24-May-13,Fast and Furious 6,160000000,238679850,789300444
41,16-May-14,Godzilla,160000000,200676069,529076069
42,3-Jun-11,X-Men: First Class,160000000,146408305,355408305
43,25-Dec-08,The Curious Case of Benjamin Button,160000000,127509326,329631958
44,14-Jul-10,The Sorcerer's Apprentice,160000000,63150991,217986320
45,12-May-06,Poseidon,160000000,60674817,181674817
46,10-Jun-16,Warcraft,160000000,47225655,425522281
47,30-Sep-16,Deepwater Horizon,156000000,61433527,122603824
48,10-Dec-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,104386950,418186950
49,1-Jul-15,Terminator: Genisys,155000000,89760956,432150894
50,23-Mar-18,Pacific Rim: Uprising,155000000,59874525,290930148
51,24-Nov-04,Alexander,155000000,34297191,167297191
52,14-Jul-17,War for the Planet of the Apes,152000000,146880162,489592267
53,25-May-01,Pearl Harbor,151500000,198539855,449239855
54,2-Jul-07,Transformers,151000000,319246193,708272592
55,2-Jun-17,Wonder Woman,150000000,412563408,821133378
56,22-Nov-13,Frozen,150000000,400738009,1272469910
57,4-Mar-16,Zootopia,150000000,341268248,1019429616
58,11-Jul-07,Harry Potter and the Order of the Phoenix,150000000,292137260,943076457
59,18-Nov-05,Harry Potter and the Goblet of Fire,150000000,290201752,897099794
60,15-May-03,The Matrix Reloaded,150000000,281553689,738576929
61,14-Dec-07,I am Legend,150000000,256393010,585532684
62,23-Nov-16,Moana,150000000,248757044,637517365
63,1-Jul-08,Hancock,150000000,227946274,624234272
64,15-Jul-05,Charlie and the Chocolate Factory,150000000,206459076,475825484
65,29-Jun-07,Ratatouille,150000000,206445654,626549695
66,8-Nov-13,Thor: The Dark World,150000000,206362140,644602516
67,15-Jun-05,Batman Begins,150000000,205343774,359142722
68,31-Jul-15,Mission: ImpossibleâRogue Nation,150000000,195042377,688858992
69,21-Jul-17,Dunkirk,150000000,190068280,499837368
70,6-May-11,Thor,150000000,181030624,449326618
71,7-Nov-08,Madagascar: Escape 2 Africa,150000000,180174880,599680774
72,1-May-09,X-Men Origins: Wolverine,150000000,179883157,374825760
73,22-May-09,Night at the Museum: Battle of the Smithsonian,150000000,177243721,402231063
74,26-May-11,Kung Fu Panda 2,150000000,165249063,664837547
75,15-May-15,Mad Max: Fury Road,150000000,153636354,370098020
76,10-May-19,PokÃ©mon: Detective Pikachu,150000000,139507806,411258433
77,5-Nov-03,The Matrix Revolutions,150000000,139270910,427300260
78,29-Mar-18,Ready Player One,150000000,137690172,579290136
79,4-Nov-05,Chicken Little,150000000,135386665,310043823
80,5-May-06,Mission: Impossible III,150000000,133501348,397501348
81,15-May-09,Angels & Demons,150000000,133375846,490875846
82,14-May-04,Troy,150000000,133298577,484161265
83,1-Jul-10,The Last Airbender,150000000,131772187,319713881
84,2-Nov-07,Bee Movie,150000000,126631277,287594577
85,24-Jul-09,G-Force,150000000,119436770,292817841
86,21-Nov-08,Bolt,150000000,114053579,328015029
87,30-Mar-12,Wrath of the Titans,150000000,83670083,305270083
88,16-Nov-07,Beowulf,150000000,82280579,195080579
89,11-May-12,Dark Shadows,150000000,79727149,238202668
90,28-Jun-13,White House Down,150000000,73103784,205440387
91,12-Feb-10,The Wolfman,150000000,62189884,142634358
92,17-Feb-17,The Great Wall,150000000,45157105,334486852
93,9-Oct-15,Pan,150000000,35088320,151525973
94,11-Mar-11,Mars Needs Moms,150000000,21392758,39549758
95,31-Dec-20,Moonfall,150000000,0,0
96,3-Nov-06,Flushed Away,149000000,64665672,179357126
97,8-Jun-12,Madagascar 3: Europe's Most Wanted,145000000,216391482,746921271
98,16-Dec-11,Mission: ImpossibleâGhost Protocol,145000000,209397903,694713230
99,13-Jun-14,How to Train Your Dragon 2,145000000,177002924,614586270
100,16-Jun-99,Tarzan,145000000,171091819,448191819
1,7-Mar-14,Mr. Peabody & Sherman,145000000,111506430,269806430
2,21-Nov-12,Rise of the Guardians,145000000,103412758,306900902
3,8-Apr-05,Sahara,145000000,68671925,121671925
4,15-Jul-16,Ghostbusters,144000000,128350574,229008658
5,22-Nov-02,Die Another Day,142000000,160942139,431942139
6,9-Jul-03,Pirates of the Caribbean: The Curse of the Black Pearl,140000000,305411224,634954103
7,8-May-09,Star Trek,140000000,257730019,386839614
8,1-Jul-98,Armageddon,140000000,201578182,554600000
9,3-Jul-02,Men in Black 2,140000000,190418803,441767803
10,22-Jul-11,Captain America: The First Avenger,140000000,176654505,370569776
11,29-Jan-16,Kung Fu Panda 3,140000000,143528619,517599142
12,10-Jul-98,Lethal Weapon 4,140000000,130444603,285400000
13,27-Mar-13,G.I. Joe: Retaliation,140000000,122523060,375740705
14,5-Dec-03,The Last Samurai,140000000,111110575,456810575
15,21-Dec-05,Fun With Dick And Jane,140000000,110550000,203018919
16,12-Dec-14,Exodus: Gods and Kings,140000000,65014513,268314513
17,1-Jul-16,The BFG,140000000,55483770,199646680
18,26-Feb-16,Gods of Egypt,140000000,31153464,138836756
19,3-May-02,Spider-Man,139000000,403706375,821706375
20,6-Mar-09,Watchmen,138000000,107509799,186976250
21,29-Jul-05,Stealth,138000000,32116746,76416746
22,13-Jun-08,The Incredible Hulk,137500000,134806913,265573859
23,20-Jun-03,Hulk,137000000,132177234,245075434
24,11-Jul-01,Final Fantasy: The Spirits Within,137000000,32131830,85131830
25,16-Nov-12,"The Twilight Saga: Breaking Dawn, Part 2",136200000,292324737,829724737
26,22-Mar-13,The Croods,135000000,187168425,573068425
27,25-Dec-15,The Revenant,135000000,183637894,532938302
28,19-Nov-99,The World is Not Enough,135000000,126930660,361730660
29,4-Mar-11,Rango,135000000,123477607,245724600
30,14-Nov-03,Master and Commander: The Far Side of the World,135000000,93926386,212912137
31,17-Jul-13,Turbo,135000000,83028130,286896578
32,3-Jun-16,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,82051601,245328374
33,18-Nov-11,Happy Feet Two,135000000,64006466,157956466
34,28-Jul-06,Miami Vice,135000000,63478838,163818556
35,2-Nov-18,The Nutcracker and the Four Realms,132900000,54858851,170293899
36,29-Jun-05,War of the Worlds,132000000,234280354,606836535
37,26-Nov-14,Penguins of Madagascar,132000000,83350911,366942531
38,22-Nov-13,The Hunger Games: Catching Fire,130000000,424668047,864868047
39,4-Jun-04,Harry Potter and the Prisoner of Azkaban,130000000,249757726,796907323
40,3-Aug-07,The Bourne Ultimatum,130000000,227471070,444043396
41,6-Jul-18,Ant-Man and the Wasp,130000000,216648740,623144660
42,6-Jun-08,Kung Fu Panda,130000000,215434591,631910531
43,17-Jul-15,Ant-Man,130000000,180202163,518858449
44,27-Mar-15,Home,130000000,177397510,385997896
45,19-Dec-18,Mary Poppins Returns,130000000,171958438,341528518
46,28-Oct-11,Puss in Boots,130000000,149260504,554987477
47,5-Nov-10,Megamind,130000000,148415853,321887208
48,18-Jul-03,Bad Boys II,130000000,138540870,273271982
49,11-Apr-14,Rio 2,130000000,131538435,492846291
50,23-Jul-10,Salt,130000000,118311368,290650494
51,28-Mar-14,Noah,130000000,101200044,352831065
52,21-Dec-11,The Adventures of Tintin,130000000,77591831,373993951
53,31-May-13,After Earth,130000000,60522097,251499665
54,26-Nov-08,Australia,130000000,49554002,215080810
55,19-Jul-13,R.I.P.D.,130000000,33618855,79076678
56,22-Feb-19,How to Train Your Dragon: The Hidden World,129000000,160791800,519258283
57,18-Nov-11,"The Twilight Saga: Breaking Dawn, Part 1",127500000,281287133,689420051
58,19-May-00,Dinosaur,127500000,137748063,356148063
59,3-Mar-17,Logan,127000000,226277068,615461394
60,19-Dec-14,Night at the Museum: Secret of the Tomb,127000000,113746621,353756621
61,15-Jul-11,Harry Potter and the Deathly Hallows: Part II,125000000,381193157,1341693157
62,21-Nov-14,The Hunger Games: Mockingjay - Part 1,125000000,337135885,766575131
63,16-Nov-01,Harry Potter and the Sorcererâs Stone,125000000,317871467,975047606
64,19-Nov-10,Harry Potter and the Deathly Hallows: Part I,125000000,296131568,960431568
65,19-May-06,The Da Vinci Code,125000000,217536138,767820459
66,2-May-03,X-Men 2,125000000,214949694,406875536
67,29-Apr-11,Fast Five,125000000,210031325,630163454
68,8-Aug-14,Teenage Mutant Ninja Turtles,125000000,191204754,485004754
69,16-Dec-11,Sherlock Holmes: A Game of Shadows,125000000,186848418,535663443
70,28-May-04,The Day After Tomorrow,125000000,186740799,556319450
71,31-Mar-17,The Boss Baby,125000000,175003033,510878762
72,1-Apr-10,Clash of the Titans,125000000,163214888,493214888
73,4-Nov-16,Trolls,125000000,153707064,344150134
74,19-May-98,Godzilla,125000000,136314294,376000000
75,8-Jun-12,Prometheus,125000000,126477084,402448265
76,10-Aug-12,The Bourne Legacy,125000000,113203870,280355920
77,20-Jun-97,Batman & Robin,125000000,107325195,238317814
78,13-Jul-18,Skyscraper,125000000,68420120,304115534
79,3-Aug-12,Total Recall,125000000,58877969,211856088
80,21-Dec-16,Assassinâs Creed,125000000,54647948,240759682
81,13-Jan-17,Monster Trucks,125000000,33370166,61642798
82,27-Aug-99,The 13th Warrior,125000000,32698899,61698899
83,17-Nov-00,How the Grinch Stole Christmas,123000000,260044825,345141403
84,24-May-00,Mission: Impossible 2,120000000,215409889,549588516
85,30-Jun-00,The Perfect Storm,120000000,182618434,328711434
86,29-Jul-16,Jason Bourne,120000000,162192920,416168316
87,15-Jun-07,Fantastic Four: Rise of the Silver Surfer,120000000,131921738,289480691
88,21-Nov-12,Life of Pi,120000000,124987022,620912003
89,16-Feb-07,Ghost Rider,120000000,115802596,229545589
90,13-Apr-18,Rampage,120000000,101028233,428056280
91,27-Jun-03,Charlie's Angels: Full Throttle,120000000,100814328,227200000
92,9-Aug-13,Elysium,120000000,93050117,286192091
93,19-Apr-13,Oblivion,120000000,89107235,287916633
94,24-Mar-17,Power Rangers,120000000,85364450,142531552
95,19-Jul-02,Stuart Little 2,120000000,64956806,166000000
96,12-Feb-14,RoboCop,120000000,58607007,242981799
97,11-Jun-04,The Chronicles of Riddick,120000000,57712751,107212751
98,7-Aug-15,Fantastic Four,120000000,56117548,167849187
99,9-May-08,Speed Racer,120000000,43945766,93394462
100,22-Jul-05,The Island,120000000,35818913,163018913
1,17-Dec-10,How Do You Know?,120000000,30212620,49628177
2,23-Jun-10,Knight and Day,117000000,76423035,258751370
3,5-Oct-18,Venom,116000000,213511408,853628605
4,19-May-99,Star Wars Ep. I: The Phantom Menace,115000000,474544677,1027044677
5,19-May-05,Star Wars Ep. III: Revenge of the Sith,115000000,380270577,848998877
6,16-May-02,Star Wars Ep. II: Attack of the Clones,115000000,310676740,656695615
7,2-Nov-01,"Monsters, Inc.",115000000,289423425,559757719
8,26-Jul-13,The Wolverine,115000000,132556852,416456852
9,7-Feb-97,Dante's Peak,115000000,67163857,178200000
10,22-Apr-16,The Huntsman: Winterâs War,115000000,48003015,165149302
11,14-Jun-02,Windtalkers,115000000,40914068,77628265
12,4-Jul-08,AstÃ©rix aux Jeux Olympiques,113500000,999811,132999811
13,25-Dec-10,Gulliver's Travels,112000000,42779261,232017848
14,15-Dec-17,Ferdinand,111000000,84410380,289847930
15,18-May-18,Deadpool 2,110000000,324591735,786680557
16,4-Oct-13,Gravity,110000000,274092705,693698673
17,22-Dec-06,Night at the Museum,110000000,250863268,579446407
18,10-Jun-05,Mr. and Mrs. Smith,110000000,186336279,486124090
19,29-May-15,San Andreas,110000000,155190832,456258539
20,29-Jul-11,The Smurfs,110000000,142614158,563749323
21,27-Jun-07,Live Free or Die Hard,110000000,134529403,382288147
22,20-Mar-15,The Divergent Series: Insurgent,110000000,130179072,295075882
23,10-Dec-04,Ocean's Twelve,110000000,125531634,362989076
24,19-Dec-97,Tomorrow Never Dies,110000000,125304276,339504276
25,28-Jun-00,The Patriot,110000000,113330342,215300000
26,7-Mar-14,300: Rise of an Empire,110000000,106580051,330780051
27,17-Dec-04,The Aviator,110000000,102608827,208370892
28,21-Dec-16,Passengers,110000000,100014699,302239672
29,14-Jan-11,The Green Hornet,110000000,98780042,229155503
30,30-Sep-16,Miss Peregrineâs Home for Peculiar Children,110000000,87242834,295986876
31,7-Oct-11,Real Steel,110000000,85463309,263880341
32,11-Jun-10,The A-Team,110000000,77222099,177241171
33,31-Jul-13,The Smurfs 2,110000000,71017784,348547523
34,18-Mar-16,The Divergent Series: Allegiant,110000000,66184051,172022517
35,12-Jun-09,The Taking of Pelham 123,110000000,65452312,152364370
36,1-Nov-13,Ender's Game,110000000,61737191,127983283
37,2-Apr-04,Home on the Range,110000000,50026353,76482461
38,13-Jun-97,Speed 2: Cruise Control,110000000,48097081,150468000
39,6-May-05,Kingdom of Heaven,110000000,47398413,218853353
40,31-Mar-17,Ghost in the Shell,110000000,40563557,167910690
41,16-Jun-04,Around the World in 80 Days,110000000,24004159,72004159
42,14-Jun-19,Men in Black: International,110000000,3100000,3100000
43,19-Dec-01,The Lord of the Rings: The Fellowship of the Ring,109000000,315544750,887210985
44,21-Nov-03,The Cat in the Hat,109000000,101018283,133818283
45,25-Dec-01,Ali,109000000,58183966,87683966
46,2-Oct-15,The Martian,108000000,228433663,655271443
47,23-Nov-16,Allied,106000000,40098064,119266661
48,16-Jul-04,"I, Robot",105000000,144801023,348629585
49,17-Dec-99,Stuart Little,105000000,140015224,298815224
50,25-Nov-09,The Princess and the Frog,105000000,104400899,270997378
51,7-Mar-08,"10,000 B.C.",105000000,94784201,269065678
52,22-Jul-16,Ice Age: Collision Course,105000000,64063008,402156682
53,27-Apr-01,Town & Country,105000000,6712451,10364769
54,22-Sep-17,Kingsman: The Golden Circle,104000000,100234838,408803696
55,9-Jun-00,Gone in 60 Seconds,103300000,101643008,232643008
56,5-May-00,Gladiator,103000000,187683805,457683805
57,23-May-13,The Hangover 3,103000000,112200072,362000072
58,9-Mar-18,A Wrinkle in Time,103000000,100478608,133401882
59,1-Jul-09,Public Enemies,102500000,97104620,212282709
60,17-Nov-06,Casino Royale,102000000,167365000,594420283
61,21-Jun-02,Minority Report,102000000,132024714,358824714
62,21-Dec-18,Bumblebee,102000000,127195589,465195589
63,26-Oct-12,Cloud Atlas,102000000,27108272,130673154
64,15-Nov-02,Harry Potter and the Chamber of Secrets,100000000,262233381,879225135
65,2-Jul-91,Terminator 2: Judgment Day,100000000,203464105,515419827
66,16-Jun-95,Batman Forever,100000000,184031112,336529144
67,27-Jul-01,Planet of the Apes,100000000,180011740,362211740
68,19-Nov-04,National Treasure,100000000,173005002,331323410
69,25-Dec-12,Django Unchained,100000000,162805434,449948323
70,22-Dec-10,Little Fockers,100000000,148438600,310650574
71,15-Jul-94,True Lies,100000000,146282411,365300000
72,2-Nov-07,American Gangster,100000000,130164645,267985456
73,18-Sep-09,Cloudy with a Chance of Meatballs,100000000,124870275,236827677
74,6-Aug-10,The Other Guys,100000000,119219978,170936470
75,17-Dec-04,Lemony Snicket's A Series of Unfortunate Events,100000000,118627117,212956024
76,25-Dec-13,The Wolf of Wall Street,100000000,116900694,389870414
77,24-May-13,Epic,100000000,107518682,262794441
78,21-Jun-96,Eraser,100000000,101295562,234400000
79,21-Jun-96,The Hunchback of Notre Dame,100000000,100138851,325500000
80,15-Dec-00,The Emperor's New Groove,100000000,89296573,169296573
81,17-Aug-12,The Expendables 2,100000000,85028192,311979256
82,16-Oct-09,Where the Wild Things Are,100000000,77233467,99123656
83,15-Dec-06,Eragon,100000000,75030163,249488115
84,25-Jul-14,Hercules,100000000,72688614,243388614
85,10-Dec-10,The Tourist,100000000,67631157,278731369
86,24-Nov-99,End of Days,100000000,66889043,212026975
87,11-Jun-04,The Stepford Wives,100000000,59475623,96221971
88,8-Jun-07,Surf's Up,100000000,58867694,145395745
89,8-Dec-06,Blood Diamond,100000000,57377916,171377916
90,24-Sep-10,Legend of the Guardians: The Owls of Ga'Hoole,100000000,55675313,139716717
91,7-Nov-97,Starship Troopers,100000000,54768952,121100000
92,5-Jun-09,Land of the Lost,100000000,49438370,69548641
93,25-Dec-03,Peter Pan,100000000,48417850,95255485
94,15-Mar-19,Wonder Park,100000000,45216793,115149422
95,23-Jul-04,Catwoman,100000000,40202379,82145379
96,15-Aug-14,The Expendables 3,100000000,39322544,209461378
97,27-Nov-02,Treasure Planet,100000000,38120554,91800000
98,12-Mar-10,Green Zone,100000000,35497337,97523020
99,20-Oct-17,Geostorm,100000000,33700160,220796009
100,25-Dec-15,Point Break,100000000,28782481,126704591
1,11-Dec-15,In the Heart of the Sea,100000000,25020758,89693309
2,18-Apr-14,Transcendence,100000000,23022309,103039258
3,18-Feb-05,Son of the Mask,100000000,17018422,59918422
4,14-Dec-18,Mortal Engines,100000000,15951040,85287417
5,16-Aug-02,The Adventures of Pluto Nash,100000000,4411102,7094995
6,20-Jan-12,Jin lÃ­ng shÃ­ san chai,100000000,311434,98227017
7,6-Nov-15,The Peanuts Movie,99000000,130178411,250091610
8,8-Feb-19,The LEGO Movie 2: The Second Part,99000000,105806508,190325698
9,21-Nov-18,Robin Hood,99000000,30824628,84747441
10,4-May-01,The Mummy Returns,98000000,202007640,435040395
11,20-Dec-02,Gangs of New York,97000000,77730500,183124621
12,19-May-17,Alien: Covenant,97000000,74262031,238521247
13,13-Mar-15,Cinderella,95000000,201151353,534551353
14,13-Jul-12,Ice Age: Continental Drift,95000000,161321843,879765137
15,28-Dec-01,Black Hawk Down,95000000,108638745,159691085
16,27-May-10,Sex and the City 2,95000000,95347692,294680778
17,12-Feb-10,Percy Jackson & the Olympians: The Lightning Thief,95000000,88768303,223050874
18,10-Aug-12,The Campaign,95000000,86907746,104907746
19,12-Nov-10,Unstoppable,95000000,81562942,165720921
20,9-May-97,The Fifth Element,95000000,63570862,263898761
21,31-Mar-00,The Road to El Dorado,95000000,50802661,65700000
22,11-Dec-09,The Lovely Bones,95000000,44114232,94894448
23,19-Aug-16,Ben-Hur,95000000,26410477,91669648
24,6-Feb-15,Seventh Son,95000000,17725785,108874967
25,30-May-03,Finding Nemo,94000000,380529370,936429370
26,17-Dec-03,The Lord of the Rings: The Return of the King,94000000,377845905,1141403341
27,18-Dec-02,The Lord of the Rings: The Two Towers,94000000,342548984,934699645
28,15-Jun-01,Lara Croft: Tomb Raider,94000000,131144183,273330185
29,13-Feb-15,Kingsman: The Secret Service,94000000,128261724,404561724
30,18-Jul-01,Jurassic Park III,93000000,181166115,365900000
31,5-Aug-11,Rise of the Planet of the Apes,93000000,176760185,470986200
32,14-Feb-08,The Spiderwick Chronicles,92500000,71195053,162839667
33,5-Nov-04,The Incredibles,92000000,261441092,614726752
34,14-Feb-13,A Good Day to Die Hard,92000000,67349198,304249198
35,9-Apr-04,The Alamo,92000000,22406362,23911362
36,22-Dec-95,Cutthroat Island,92000000,10017322,18517322
37,25-Dec-13,The Secret Life of Walter Mitty,91000000,58236838,187861183
